Setting,Threshold,Accuracy,Precision,Recall,F1
Baseline,0.5,0.945325,0.6199956005279367,0.9673931697271323,0.7556806756485019
Resampled,0.5,0.942735,0.6043773375813825,0.9983410560036611,0.7529391461915137
Final Model,0.8,0.945625,0.6195093711556553,0.9794634174246325,0.7589707218688357
